"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.469684583E-1,2.799179077E-2,1.477427673E-1,9.744735718E0,9.745895837E0
7.570084583E-1,3.203338623E-2,1.534309387E-1,9.737251282E0,9.738512705E0
7.670484583E-1,2.709365845E-2,1.487905884E-1,9.750573578E0,9.751746398E0
7.770894583E-1,3.278182983E-2,1.514849854E-1,9.748328247E0,9.749560296E0
7.871294583E-1,3.427871704E-2,1.523831177E-1,9.750423889E0,9.751674813E0
7.971694583E-1,2.814147949E-2,1.493893433E-1,9.739047546E0,9.740233890E0
8.072094583E-1,2.484832764E-2,1.504371643E-1,9.752519531E0,9.753711396E0
8.172494583E-1,2.664459229E-2,1.514849854E-1,9.745484161E0,9.746697860E0
8.272904583E-1,2.859054565E-2,1.483415222E-1,9.748777313E0,9.749947781E0
8.373304583E-1,2.529739380E-2,1.490899658E-1,9.750124512E0,9.751297133E0
8.473704583E-1,2.200424194E-2,1.487905884E-1,9.745933228E0,9.747093787E0
8.574104583E-1,2.859054565E-2,1.517843628E-1,9.741592255E0,9.742816614E0
8.674514583E-1,3.487747192E-2,1.507365417E-1,9.748627625E0,9.749855307E0
8.774914583E-1,2.200424194E-2,1.556762695E-1,9.733808441E0,9.735078123E0
8.875314583E-1,3.338058472E-2,1.525328064E-1,9.739047546E0,9.740299155E0
8.975714583E-1,2.978805542E-2,1.495390320E-1,9.748477936E0,9.749670318E0
9.076114583E-1,2.095642090E-2,1.555265808E-1,9.749974823E0,9.751237703E0
9.176524583E-1,1.811233521E-2,1.486408997E-1,9.753118286E0,9.754267706E0
9.276924583E-1,2.739303589E-2,1.435514832E-1,9.742041321E0,9.743137406E0
9.377324583E-1,3.098556519E-2,1.472937012E-1,9.744136963E0,9.745299415E0
9.477724583E-1,2.320175171E-2,1.547781372E-1,9.744136963E0,9.745393771E0
9.578134583E-1,2.679428101E-2,1.481918335E-1,9.745035095E0,9.746198631E0
9.678534583E-1,2.529739380E-2,1.532812500E-1,9.747430115E0,9.748668060E0
9.778934583E-1,2.350112915E-2,1.492396545E-1,9.750124512E0,9.751294928E0
9.879334583E-1,3.083587646E-2,1.501377869E-1,9.746531982E0,9.747737065E0
9.979734583E-1,2.724334717E-2,1.561253357E-1,9.749974823E0,9.751262809E0
1.008014083E0,2.918930054E-2,1.487905884E-1,9.748028870E0,9.749208045E0
1.018054083E0,3.457809448E-2,1.456471252E-1,9.747579803E0,9.748729187E0
1.028094083E0,2.439926147E-2,1.498384094E-1,9.733359375E0,9.734543215E0
1.038134083E0,2.589614868E-2,1.541793823E-1,9.742789764E0,9.744044042E0
1.048175083E0,2.604583740E-2,1.558259583E-1,9.748627625E0,9.749907727E0
1.058215083E0,2.784210205E-2,1.440005493E-1,9.737251282E0,9.738355809E0
1.068255083E0,2.604583740E-2,1.492396545E-1,9.733658752E0,9.734837624E0
1.078295083E0,2.469863892E-2,1.532812500E-1,9.752070465E0,9.753306287E0
1.088335083E0,2.634521484E-2,1.505868530E-1,9.757459259E0,9.758656755E0
1.098376083E0,2.484832764E-2,1.508862305E-1,9.751471710E0,9.752670640E0
1.108416083E0,3.248245239E-2,1.507365417E-1,9.752519531E0,9.753738454E0
1.118456083E0,3.622467041E-2,1.484912109E-1,9.747430115E0,9.748628401E0
1.128496083E0,2.275268555E-2,1.481918335E-1,9.749525757E0,9.750678489E0
1.138537083E0,3.173400879E-2,1.528321838E-1,9.737550659E0,9.738801649E0
1.148577083E0,2.499801636E-2,1.555265808E-1,9.745633850E0,9.746906820E0
1.158617083E0,2.424957275E-2,1.520837402E-1,9.745783539E0,9.747000271E0
1.168657083E0,2.125579834E-2,1.504371643E-1,9.742191010E0,9.743375638E0
1.178697083E0,2.874023438E-2,1.588197327E-1,9.747280426E0,9.748616590E0
1.188738083E0,2.320175171E-2,1.625619507E-1,9.742640076E0,9.744023828E0
1.198778083E0,2.589614868E-2,1.504371643E-1,9.743089142E0,9.744284888E0
1.208818083E0,3.248245239E-2,1.484912109E-1,9.751322021E0,9.752506648E0
1.218858083E0,2.395019531E-2,1.573228455E-1,9.747130737E0,9.748429704E0
1.228898083E0,2.230361938E-2,1.516346741E-1,9.740544434E0,9.741750171E0
1.238939083E0,2.439926147E-2,1.502874756E-1,9.744885406E0,9.746074760E0
1.248979083E0,2.814147949E-2,1.484912109E-1,9.747280426E0,9.748452046E0
1.259019083E0,2.679428101E-2,1.472937012E-1,9.743837585E0,9.744987648E0
1.269059083E0,2.978805542E-2,1.435514832E-1,9.745933228E0,9.747035900E0
1.279100083E0,2.424957275E-2,1.456471252E-1,9.751322021E0,9.752439812E0
1.289140083E0,4.071533203E-2,1.487905884E-1,9.745633850E0,9.746854647E0
1.299180083E0,3.457809448E-2,1.534309387E-1,9.744436340E0,9.745705531E0
1.309220083E0,3.083587646E-2,1.520837402E-1,9.738448792E0,9.739685066E0
1.319260083E0,2.529739380E-2,1.567240906E-1,9.743687897E0,9.744981079E0
1.329301083E0,3.367996216E-2,1.469943237E-1,9.751771088E0,9.752937046E0
1.339341083E0,3.083587646E-2,1.463955688E-1,9.743538208E0,9.744686723E0
1.349381083E0,3.248245239E-2,1.604663086E-1,9.746232605E0,9.747607631E0
1.359421083E0,3.203338623E-2,1.666035461E-1,9.736203461E0,9.737681485E0
1.369462083E0,1.945953369E-2,1.555265808E-1,9.743388519E0,9.744649149E0
1.379502083E0,2.784210205E-2,1.567240906E-1,9.734856262E0,9.736157562E0
1.389542083E0,3.053649902E-2,1.612147522E-1,9.745035095E0,9.746416351E0
1.399582083E0,2.544708252E-2,1.574725342E-1,9.747430115E0,9.748735251E0
1.409623083E0,2.574645996E-2,1.513352966E-1,9.741741943E0,9.742951367E0
1.419663083E0,1.661544800E-2,1.526824951E-1,9.749525757E0,9.750735383E0
1.429703083E0,3.023712158E-2,1.562750244E-1,9.749226379E0,9.750525687E0
1.439743083E0,2.604583740E-2,1.550775146E-1,9.744735718E0,9.746004393E0
1.449783083E0,2.499801636E-2,1.477427673E-1,9.754465485E0,9.755616317E0
1.459824083E0,3.367996216E-2,1.523831177E-1,9.754315796E0,9.755564135E0
1.469864083E0,3.472778320E-2,1.565744019E-1,9.744136963E0,9.745456722E0
1.479904083E0,2.888992310E-2,1.541793823E-1,9.747729492E0,9.748991546E0
1.489944083E0,3.038681030E-2,1.541793823E-1,9.748627625E0,9.749894112E0
1.499984083E0,2.799179077E-2,1.510359192E-1,9.745933228E0,9.747143677E0
1.510025083E0,3.158432007E-2,1.499880981E-1,9.753417664E0,9.754621987E0
1.520065083E0,3.173400879E-2,1.450483704E-1,9.751771088E0,9.752901385E0
1.530105083E0,3.113525391E-2,1.393601990E-1,9.757159882E0,9.758204734E0
